document_id,range_from,range_to,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,sadness,joy,fear,disgust,anger,sadness
111111111,265,323,58.00,0,0,,,,1.00,0.135451,0.552698,0.13844,0.031873,0.029835,0.135451
111111111,1795,1935,140.00,0,0,,,,1.00,0.184988,0.230592,0.410097,0.085525,0.046089,0.184988
111111111,149,157,8.00,0,0,,,,2.00,0,0,0,0,0,0
111111111,1069,1091,22.00,0,0,,,,2.00,0.0,0.0,0.0,0.0,0.0,0.0
111111111,1334,1462,128.00,0,0,He,,,1.00,0.127708,0.485825,0.240755,0.010223,0.01998,0.127708
111111111,1577,1616,39.00,0,0,,,,1.00,0.110064,0.009704,0.709695,0.100816,0.408979,0.110064
111111111,2023,2086,63.00,0,0,,,,1.00,0.435886,0.03472,0.337348,0.395347,0.091823,0.435886
111111112,191,221,30.00,0,0,,,America,2.00,0.476211,0.012878,0.172584,0.397601,0.262343,0.476211
111111112,476,556,80.00,0,0,,,,1.00,0.155538,0.116319,0.094242,0.722165,0.039852,0.155538
111111112,785,798,13.00,0,0,,,,2.00,0,0,0,0,0,0
111111112,958,1015,57.00,0,0,,Magna Carta,,1.00,0.578677,0.07097,0.02923,0.275014,0.314993,0.578677
111111112,1456,1536,80.00,0,0,,,UK,1.00,0.062765,0.012753,0.144538,0.667447,0.389899,0.062765
111111112,1810,1824,14.00,0,0,,,,1.00,0,0,0,0,0,0
111111112,2095,2125,30.00,0,0,,,,3.00,0.178295,0.146615,0.167831,0.090269,0.163171,0.178295
111111112,911,942,31.00,0,0,,,,3.00,0.329236,0.139627,0.388836,0.023613,0.350944,0.329236
111111112,1738,1787,49.00,0,0,,,,1.00,0.369767,0.249829,0.263149,0.141434,0.192918,0.369767
111111113,1396,1430,34.00,0,0,,,,2.00,0.080249,0.247888,0.098334,0.049962,0.068665,0.080249
111111113,3082,3099,17.00,0,0,,,,2.00,0.108697,0.076686,0.047451,0.085807,0.070538,0.108697
111111113,3828,3985,157.00,0,0,,,,1.00,0.590642,0.012798,0.094219,0.496867,0.116407,0.590642
111111113,361,469,108.00,0,0,Steinle,,,1.00,0.375565,0.002391,0.082404,0.17406,0.644428,0.375565
111111113,3580,3741,161.00,0,0,him,,,1.00,0.745676,0.019402,0.219491,0.082593,0.137369,0.745676
111111113,4865,5007,142.00,0,0,Steinle,,,1.00,0.202356,0.091066,0.385305,0.33692,0.295369,0.202356
111111113,5743,5774,31.00,0,0,,,,1.00,0.320104,0.118525,0.019086,0.444887,0.330425,0.320104
111111113,5775,5791,16.00,0,1,,,,2.00,0.050522,0.390405,0.104088,0.071088,0.108408,0.050522
111111113,259,280,21.00,0,0,,,,2.00,0.129426,0.075863,0.068444,0.135966,0.606168,0.129426
111111113,5556,5580,24.00,0,0,Kate Steinle,,,2.00,0.383334,0.011701,0.101948,0.260298,0.055715,0.383334
